x,y,z,qx,qy,qz,qw,timestamp
-0.41583063098998524,-0.06684065128133955,0.33564799610016693,0.7078289329169586,-0.7008674423841519,-0.06652775762932246,-0.05776752890986014,5191.0
-0.4158074179712679,-0.06701468770603229,0.3355708157198086,0.7079839905774311,-0.7007135339413482,-0.06646240036054565,-0.05780970312843118,5242.0
-0.4158063197039867,-0.06707861654777711,0.3354226869925571,0.7080530282315182,-0.7006492401012056,-0.06631671390606632,-0.05791066408254478,5298.0
-0.4157965683691388,-0.0671714168842917,0.3353449207313002,0.7081390465822166,-0.7005651545711907,-0.06624421092444828,-0.057959118568781554,5349.0
-0.4157790667616186,-0.06729238436775517,0.33531977183891687,0.7082433970730106,-0.7004605998463497,-0.06622708237252553,-0.057967336714709175,5402.0
-0.4157542679879735,-0.0674682243975063,0.335258969564632,0.7083977033727703,-0.7003067428097877,-0.06617764105578527,-0.057997238344786435,5453.0
-0.41572889598381274,-0.0676601683514251,0.3351629660368569,0.7085691207756546,-0.7001367574553595,-0.06609362620280196,-0.0580513093605575,5509.0
-0.4156989807593612,-0.06787454668193543,0.33507970305615475,0.7087580852314735,-0.6999484462891788,-0.06602413243308748,-0.0580944325459662,5558.0
-0.41565934725344067,-0.0681488305092362,0.33499339764630964,0.7089982493834602,-0.6997081634476484,-0.0659564724119585,-0.058135291543760716,5613.0
-0.41562048836652005,-0.0684204456302953,0.3348973543688195,0.7092365626709428,-0.6994700071855933,-0.06587808632747037,-0.058183201702229,5664.0
-0.41558413413935175,-0.06867465299816033,0.3347937274415456,0.7094608520306865,-0.6992459297811049,-0.06578970619856961,-0.0582421125883675,5714.0
-0.4154742906362556,-0.06897330613803636,0.33471335525511836,0.7097133327574275,-0.6989676562905094,-0.06561172780993621,-0.058705212203790554,5772.0
-0.41536487863543153,-0.06928372944292184,0.33466601351235004,0.7099759831214788,-0.6986828274936878,-0.06549650037655473,-0.05904759431627478,5821.0
-0.41529573540002956,-0.06961535484667372,0.3345655329136741,0.7102660854349381,-0.6983869739677713,-0.06540129887788741,-0.05916411562893592,5872.0
-0.41524879378817015,-0.06984727071530267,0.33447876623598627,0.7104675816031909,-0.6981791230500983,-0.0653029089837751,-0.05930647271728407,5923.0
-0.41519231936387446,-0.0700336097083954,0.3344488258326189,0.7106239982255663,-0.6980103086595495,-0.0652364196869206,-0.05949245075925866,5978.0
-0.41513702187308976,-0.07019354404577807,0.3343886283109728,0.7107607070431055,-0.697861129604482,-0.0651314446349335,-0.05972399878196129,6029.0
-0.41509738246435485,-0.07038347635722197,0.33427279043806424,0.7109302534718945,-0.6976871281352148,-0.06500400179785654,-0.05987758915561425,6086.0
-0.4150181593055909,-0.0707166265304681,0.3341936954158262,0.711219164295595,-0.6973893639209309,-0.06490486200239423,-0.06002278165067771,6138.0
-0.4149070041899256,-0.07123228206296937,0.33407578638420454,0.7116702072116738,-0.6969310834745807,-0.06482104455916166,-0.06009004274003587,6193.0
-0.4148294599276604,-0.07166243419852353,0.33391382052948304,0.7120489297580901,-0.696548854537443,-0.06468648246665681,-0.06018034445751699,6243.0
-0.41475560539239664,-0.07209358135668675,0.33369489855865053,0.7124324761304509,-0.6961618354234378,-0.06448922565255855,-0.060330801662484994,6298.0
-0.4146989499595469,-0.07250601176500648,0.33357152967956616,0.7127879220573794,-0.6958025371297187,-0.06439040550770339,-0.06038280526377406,6349.0
-0.4146219115740277,-0.07297309152101449,0.3334785796493005,0.713188736621576,-0.6953943231870936,-0.06433003382308662,-0.06041695112801316,6404.0
-0.4145640703555913,-0.07333313560621338,0.3333515855071898,0.7135027890280313,-0.6950758353359433,-0.06422749878981208,-0.06048290320798054,6454.0
-0.4145203467026283,-0.07363895248606979,0.3332013370115218,0.7137734246766501,-0.6948026126152081,-0.06409819367691098,-0.06056607380212862,6504.0
-0.41448433073230345,-0.0738964561833123,0.3331262158479674,0.7139954211882146,-0.6945772433701827,-0.06404084264877956,-0.06059506570155923,6554.0
-0.4144443942404052,-0.07413147938373757,0.333088925570924,0.7141954364295647,-0.6943727573106419,-0.06401967695939512,-0.060603906227361656,6604.0
-0.4143908983927806,-0.07446524972572052,0.3329756051283685,0.7144865163585545,-0.6940764621814925,-0.0639304361057419,-0.060661206110412855,6654.0
-0.4143536405774354,-0.0747541167344306,0.3327256006885071,0.7147523626091861,-0.6938099444028613,-0.06369930833770192,-0.060821207728748494,6709.0
-0.41431422071615326,-0.07505767232774295,0.33256184607300054,0.7150209088842574,-0.6935384216372348,-0.0635545156663025,-0.06091289772852101,6761.0
-0.4142477558541382,-0.07543291356030594,0.3325218677227638,0.7153397577493046,-0.693212340268411,-0.06353073983437746,-0.0609058895251981,6813.0
-0.4141573231276286,-0.07583992726486222,0.33244325905875294,0.7156927969572823,-0.6928504558796523,-0.06347248305474071,-0.06093693515172892,6865.0
-0.41408111151609056,-0.0762675201059418,0.33224346337260846,0.7160717862765855,-0.6924661622441504,-0.06328813763851093,-0.06104443201281315,6921.0
-0.4140263622590849,-0.07668734204538304,0.33198703346978353,0.7164478239995568,-0.6920920664528242,-0.06301098070289742,-0.06116128963828876,6973.0
-0.41397742635328383,-0.07707552921831795,0.33176480867829283,0.7167927461616979,-0.6917523931928345,-0.06274276532162609,-0.06123831285848155,7025.0
-0.41390439394852446,-0.07748828331187693,0.33161132199864113,0.7171095451432252,-0.6914517477751404,-0.06244858388791056,-0.06122544514803413,7077.0
-0.4138337460603879,-0.07789540349949127,0.33149411298343767,0.7174607343250694,-0.6911115074869373,-0.062218864309529186,-0.06118653319888133,7129.0
-0.4137462462414118,-0.07840093496337702,0.3313476513870508,0.7179224956242913,-0.6906666745796441,-0.06190573630317198,-0.06111067594493964,7181.0
-0.41371175123977855,-0.07866180855303584,0.33113568150851813,0.7181656471263353,-0.6904285759296537,-0.06165104703660088,-0.06120157862876708,7233.0
-0.4136957342145037,-0.07881604946514988,0.33106141709061576,0.7183000413820796,-0.690292506654826,-0.06157838259758818,-0.061232414645878995,7285.0
-0.41367166638577146,-0.07894742373570071,0.3310670323563969,0.7184096802875449,-0.6901821610629478,-0.061568045002624215,-0.06120042200983069,7337.0
-0.41365190340073466,-0.07905106308271821,0.33103288079524834,0.7184834589617954,-0.6901131516883675,-0.0614899685927716,-0.061191019173585055,7389.0
-0.4136097534415756,-0.07921316118695894,0.3309735495361824,0.7184643016724066,-0.6901682073508183,-0.061171900728524124,-0.061113757418428276,7441.0
-0.4135561281755587,-0.07942017186675697,0.33090263126218256,0.7184344576187628,-0.690245611922004,-0.06075757648320418,-0.061003624714765135,7494.0
-0.41349819196922494,-0.07967625364909162,0.33084234843378124,0.7184918829102972,-0.6902278060682848,-0.060396701144438486,-0.06088701350080612,7546.0
-0.4134310388252703,-0.07996662879435121,0.33077752947984174,0.7185856852855773,-0.6901741201681005,-0.060018762661503404,-0.060762199445277144,7598.0
-0.413347234279423,-0.08041478928235542,0.330664587865319,0.7189557033892354,-0.6898275637181474,-0.059683242081448026,-0.0606509646536838,7650.0
-0.413270437271611,-0.08087171353912531,0.3304335491519226,0.7193720430000232,-0.6894300487254792,-0.05927075670742453,-0.06063867630221944,7704.0
-0.4131981845008039,-0.08135335183636966,0.33017987057952736,0.7197589895072685,-0.6890731775329294,-0.05875739101822249,-0.060602986963346546,7762.0
-0.4131023682837043,-0.08189210516828838,0.3300863990116943,0.7200620792812019,-0.6888219143702193,-0.05822522156839389,-0.06037214455268201,7816.0
