x,y,z,qx,qy,qz,qw,timestamp
-421.6433682680086,-11.529095117054814,50.597578885494485,-0.656501187631314,-0.022023284146086022,-0.007909629326685822,0.7539619376056123,92.0
-421.43543721608063,-11.411593500758418,50.50855924150122,-0.656476907832857,-0.02209462715043752,-0.008080911678868452,0.753979174645913,157.0
-421.49949896506695,-11.430820193743397,50.535011478921085,-0.6564855190495548,-0.022059550822495222,-0.00804396828139208,0.7539730990360559,209.0
-421.4550500981899,-11.45810549731474,50.464988657292324,-0.6564976471944882,-0.022137083482660695,-0.008082245362616421,0.7539598570699116,260.0
-421.30723713220476,-11.459081235507616,50.362736969776165,-0.6564933196064994,-0.022269786346068545,-0.008167030061366164,0.7539588036147042,308.0
-420.96996644176255,-11.428954612759028,50.22137051739478,-0.6564531054433924,-0.022505109835333843,-0.008300977288758666,0.7539853673388346,357.0
-420.9668319649233,-11.576691262820189,50.2228328158893,-0.6564571661739024,-0.022615066561953348,-0.008172337586018426,0.7539799471084812,409.0
-421.0626389020555,-11.719417811053297,50.26969817243982,-0.6564659070541279,-0.022646174962804792,-0.008008950371082915,0.7539731562523355,458.0
-421.1397444842045,-11.869566447405381,50.2827213886976,-0.6564809673710059,-0.022709266453658793,-0.007869807837052847,0.7539596108687607,507.0
-421.0234405807988,-11.895145184826497,50.22836412352449,-0.6564680749167164,-0.02282092421524691,-0.007889473644396669,0.7539672593944092,559.0
-421.04356376417024,-11.918924233011621,50.23717562621399,-0.6564715394147707,-0.02282285755207027,-0.00786119536229326,0.7539644797462509,609.0
-421.07059193033473,-12.108978320178515,50.25193688632407,-0.6564757974510957,-0.022942735478367733,-0.007683211700291477,0.7539589687162598,659.0
-421.06168130600355,-12.421471032933464,50.25193796519633,-0.6564685535571098,-0.023186137405045326,-0.007403488519312182,0.753960628667449,713.0
-421.0330567344188,-12.757224148388111,50.238607131326,-0.6564585164002147,-0.02346571686861129,-0.007113522762943484,0.7539635098407432,762.0
-420.8987729252304,-12.886426943263162,50.18148227715402,-0.6564389769442448,-0.02366902372790107,-0.0070404164936028295,0.7539748532940325,817.0
-420.68649518664915,-13.001909620304703,50.091858098952116,-0.6564110122192798,-0.023920449558565877,-0.007004646219131628,0.7539915981372215,868.0
-420.4318458870488,-13.199333855113862,49.98662394029857,-0.6563747722796197,-0.02426730077486834,-0.006906198382139958,0.7540129712756181,920.0
-420.146218505514,-13.603354649992134,49.87243996120561,-0.6563288965888564,-0.02479388271361252,-0.006628645551269518,0.754038264241672,982.0
-420.07610444289224,-13.925848662345606,49.84803381252184,-0.6563105316436061,-0.02509352486105811,-0.006355646114752482,0.7540466874313543,1039.0
-420.047323726591,-14.088467553922186,49.834338893312456,-0.656303644311061,-0.025241087741969523,-0.006219655696231359,0.7540488908795256,1093.0
-419.9205292791915,-14.154035852936168,49.78156599063088,-0.6562865902503046,-0.025388627559497504,-0.006200289185958847,0.7540589403105598,1144.0
-419.8937012626037,-14.28282424861827,49.75756152985711,-0.6562856519222737,-0.025512746563298022,-0.006105890993900521,0.754056338040417,1196.0
-419.8688946859095,-14.460073467164714,49.727328057730055,-0.6562859224601475,-0.025675547766699638,-0.005973912918894658,0.7540516339031107,1244.0
-419.83264554831896,-14.583165257159262,49.674852206087635,-0.6562916127462574,-0.025813839659555752,-0.005910283393661958,0.7540424611858101,1292.0
-419.8225833413142,-14.594195289193737,49.65723205941447,-0.656294668163736,-0.02583600303593463,-0.005916177840292721,0.754038996555709,1341.0
-419.814650434809,-14.587154038915862,49.64220910957112,-0.6562977946804865,-0.025841416862146017,-0.005936487577662757,0.7540359301699933,1389.0
-419.8025621547343,-14.586889602929219,49.622385115623835,-0.6563006822971407,-0.025858588066786172,-0.0059527728740937326,0.754032699778073,1437.0
-419.7887110449198,-14.591986494841871,49.59393242649451,-0.6563072629742375,-0.02588201302399131,-0.005974518505129319,0.7540259963010049,1486.0
-419.76148053027316,-14.608003572986743,49.54717948050552,-0.6563157142505832,-0.025930355868136933,-0.00600261461154328,0.7540167561070005,1535.0
-419.7412912255668,-14.644056538212206,49.50922725980078,-0.6563229460432783,-0.02598597899035545,-0.006004242489390441,0.7540085334166408,1584.0
-419.76031878651884,-14.77013571499581,49.510371699178826,-0.6563277601114522,-0.026068564052078472,-0.0058931124675639475,0.7540023690286333,1633.0
-419.7198641712064,-14.981151189099977,49.45842840573167,-0.656331428016602,-0.02627482882513403,-0.005751390596582001,0.7539931110256269,1681.0
-419.64760072923036,-15.305139334876413,49.360000980732174,-0.6563388099994436,-0.026607457225963936,-0.00554831049701577,0.7539765420482997,1731.0
-419.5857559850232,-15.732107752444504,49.285866634036225,-0.656340669356267,-0.0270002159161125,-0.0052323570757114995,0.7539632196127891,1781.0
-419.5001928570411,-16.186501657386742,49.17601618404749,-0.6563467063726044,-0.02744394211751125,-0.004922967965819938,0.7539440267428958,1831.0
-419.42572622956527,-16.598991341432686,49.04764381925586,-0.6563611476784867,-0.027858209198848335,-0.004668521163755725,0.7539178794196065,1881.0
-419.4460618671236,-16.995759775308734,49.00098352905968,-0.6563735199753674,-0.028168060228762212,-0.004359278424019061,0.7538974461753513,1931.0
-419.426748089922,-17.36603693767686,48.96600018933278,-0.6563713546579099,-0.028476562127184513,-0.004058224991676364,0.7538894222655428,1982.0
-419.34798814263064,-17.679020321124263,48.87165551139477,-0.6563748580717328,-0.028802404331906485,-0.003860135821623646,0.7538750337738032,2032.0
-419.2797382332126,-17.940208774116833,48.781590681320765,-0.6563803571701357,-0.029081965720243935,-0.0037047381933619666,0.7538602926975067,2081.0
-419.24762174786025,-18.25544399871469,48.75020842349231,-0.6563737442653513,-0.029355365630735476,-0.0034470839928772753,0.7538566760065967,2132.0
-419.2192732816664,-18.54029913898588,48.7360502971878,-0.6563622655888427,-0.02959698720550903,-0.003200010023380062,0.753858312015785,2182.0
-419.1265357918537,-18.862627623266,48.60737170653745,-0.6563637637436586,-0.029965889394466167,-0.003007854294493549,0.7538432250339592,2232.0
-419.0235033301028,-19.16750699226332,48.41266827462315,-0.6562925858704769,-0.03048275314608754,-0.002726448798002674,0.7538855416898703,2283.0
-418.98543367671107,-19.51554548704043,48.36962187539551,-0.6562709087596154,-0.030811649609812378,-0.0024211980323389035,0.7538920840307577,2334.0
-418.9628805402604,-19.92125427662727,48.354956493193654,-0.6562250100111064,-0.031185584675950933,-0.0020076537784502516,0.7539178767416569,2384.0
-418.84866498334367,-20.331297785778286,48.228060794547886,-0.6561436399932867,-0.03173301833130903,-0.001602439312030424,0.7539668238272795,2433.0
-418.71517423308825,-20.744011755936103,48.03706454856177,-0.65607142373945,-0.03233171061838803,-0.0012411582430241696,0.7540049117659616,2484.0
-418.613707518486,-21.254110149077945,47.901807089493765,-0.6560465405481942,-0.03287821248560117,-0.0008498699916963474,0.7540034731349023,2532.0
-418.4991367211037,-21.775757447799084,47.812197573030346,-0.6559949765152675,-0.0334429015188326,-0.0004237721206200411,0.7540238613876387,2580.0
-418.30028288304516,-22.129934824998692,47.71344146209999,-0.6558232755201466,-0.03412058705816225,-7.165379599526376e-05,0.754142965020934,2628.0
-418.1537673636049,-22.25953171833677,47.61091505800036,-0.6555266409617914,-0.03480397390830252,0.0003123506276912677,0.7543695439415792,2677.0
-418.03143782978424,-22.45002260755985,47.52099363778001,-0.6554231948954627,-0.03522287477301973,0.000493366315884501,0.7544398857930477,2728.0
-417.6366774667869,-22.40835542754218,47.56083576476999,-0.6552213899948673,-0.0356973067372835,0.00022980898784750358,0.7545929893477195,2777.0
-417.2512978096363,-22.51905276009343,47.57288680828808,-0.655038376593473,-0.03626193202578329,9.643889148091909e-05,0.7547249751896946,2828.0
-417.05388976154006,-22.838872690719896,47.41586815901322,-0.6550147685279867,-0.036734399425898775,0.00021400667830472533,0.7547225921556796,2878.0
-416.77580777772255,-23.16298569742805,47.22388431283531,-0.6549454676606953,-0.03735778474483184,0.000279838175249887,0.7547521129485281,2926.0
-416.41122174100167,-23.365641200855478,47.189957442009764,-0.6547423341650604,-0.03803415614580048,0.00029345676297237255,0.7548945573399595,2974.0
-415.90820380508035,-23.52530446515079,47.2410841400287,-0.6543852910972153,-0.03892895754031236,0.0002974126128400544,0.7551584857539342,3022.0
-415.51638177969494,-23.4949214769272,47.31584268461747,-0.6538207795544029,-0.03991240194736166,0.0005718193670495607,0.7555958320532721,3070.0
-415.4834800828556,-23.53526136094991,47.22053628931155,-0.6533584488194002,-0.04069818682258074,0.001256214225312157,0.7559529197453249,3118.0
-415.36646954330064,-23.578315914929355,46.997025848057426,-0.6529250663061714,-0.04158345574008819,0.0018061902656266412,0.7562779989359192,3166.0
-415.2403583469964,-23.607782109556158,46.94261754779189,-0.6524284032353296,-0.0424385420820753,0.0023923801464555004,0.7566574028680225,3214.0
-415.0057510984449,-23.401303169101627,47.05933547968028,-0.6517782051636056,-0.043307506546722455,0.0027943485804735545,0.7571669715237354,3261.0
-414.85423113211516,-23.40355415984608,47.111134139242616,-0.651346061809669,-0.04399711378703546,0.0031874816257688025,0.7574974598665866,3309.0
-414.8603726129041,-23.53635577333927,47.022973554926736,-0.6511605129122645,-0.04441157516580217,0.00359639292936223,0.7576309552631983,3357.0
-414.926785539863,-23.62711178127112,46.982671566927756,-0.6511201518788685,-0.04454804131823196,0.0037546753465834914,0.7576568631280193,3405.0
-414.9238168684745,-23.629811505141816,46.97624606869838,-0.6511214037013585,-0.0445540548025878,0.003752415813328497,0.7576554449208323,3452.0
-414.9922392709517,-23.65622092685779,46.99983059751228,-0.6511320586827745,-0.044520494047261376,0.0037913580978521013,0.7576480669605735,3500.0
-414.9213443339562,-23.708083236669307,46.90289129239733,-0.6511428958373231,-0.044646561817574926,0.0037543470950934955,0.7576315190093031,3548.0
-414.93275491670425,-23.839859047385254,46.835991886142736,-0.6511638729269195,-0.04476774962339652,0.003809490433479714,0.7576060631826469,3597.0
-414.9994123772057,-24.042658129798944,46.81665127149381,-0.6511815458288491,-0.044887042849296184,0.00396743071973801,0.757583003538015,3645.0
-415.0331126155359,-24.24156902534851,46.785777345855536,-0.6511939657208177,-0.04502888371604288,0.004114566963302775,0.7575631254085604,3694.0
-414.94954636501933,-24.42158873600945,46.6864095835231,-0.6511971162561182,-0.04525976386316952,0.004192854991106418,0.7575462292967932,3743.0
